"","Country","Subject","MEASURE","Frequency","TIME","Period","Unit","Value"
"224","Spain","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",42081.5
"225","Spain","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",42391.2
"226","Spain","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",42765.3
"227","Spain","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",40778.3
"228","Spain","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",33398
"229","Spain","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",39493.9
"230","Spain","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",39711.9
"231","Spain","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",40029.5
"232","Chile","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",23160
"233","Chile","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",23301
"234","Chile","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",23115.4
"235","Chile","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",23252.5
"236","Chile","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",23363.5
"237","Chile","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",22346.9
"238","Chile","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",22665.8
"239","Chile","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",19703.2
"240","Chile","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",20723.1
"241","Chile","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",21981.6
"242","Chile","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",22619.3
"243","Hungary","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",30443.2
"244","Hungary","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",30871.8
"245","Hungary","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",31400.4
"246","Hungary","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",31634.5
"247","Hungary","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",31731.1
"248","Hungary","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",32181.7
"249","Hungary","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",32064.4
"250","Hungary","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",27446.6
"251","Hungary","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",30117.5
"252","Hungary","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",31012.8
"253","Hungary","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",31691
"254","Israel","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",37337.3
"255","Israel","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",37409.7
"256","Israel","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",37717.1
"257","Israel","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",37647.4
"258","Israel","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",37843.3
"259","Israel","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",38071.9
"260","Israel","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",37201.7
"261","Israel","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",33804.2
"262","Israel","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",36773.8
"263","Israel","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",37183.6
"264","Israel","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",36453.9
"265","Finland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",45250.3
"266","Finland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",45314.7
"267","Finland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",45625.6
"268","Finland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",46043.4
"269","Finland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",45986.9
"270","Finland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",45794
"271","Finland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",45567.4
"272","Finland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",42767.3
"273","Finland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",44671.3
"274","Finland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",44856.4
"275","Finland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",44873.9
"276","Italy","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",38897.2
"277","Italy","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",38998.7
"278","Italy","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",39037.4
"279","Italy","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",39143.3
"280","Italy","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",39199.4
"281","Italy","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",39052.7
"282","Italy","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",36870.9
"283","Italy","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",32175.5
"284","Italy","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",37321.9
"285","Italy","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",36708.2
"286","Italy","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",36823
"287","Estonia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",33337.4
"288","Estonia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",33740.3
"289","Estonia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",34452.7
"290","Estonia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",34572.3
"291","Estonia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",34758.2
"292","Estonia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",34929.4
"293","Estonia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",34309.6
"294","Estonia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",32547.1
"295","Estonia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",33428.8
"296","Estonia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",34359.1
"297","Estonia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",36013
"298","Israel","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",40553.8
"299","Israel","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",40883.4
"300","Israel","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",41348.8
"301","Israel","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",41525.7
"302","Israel","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",42143.9
"303","Israel","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",42915
"304","Israel","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",42617.6
"305","Israel","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",38960.5
"306","Israel","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",42791.7
"307","Israel","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",43671.3
"308","Israel","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",43330.8
"309","Greece","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",27538.6
"310","Greece","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",27704.5
"311","Greece","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",27976.1
"312","Greece","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",28162.4
"313","Greece","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",27997
"314","Greece","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",27983.7
"315","Greece","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",27862.3
"316","Greece","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",24278.4
"317","Greece","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",25229.2
"318","Greece","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",26125.5
"319","Greece","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",27288.8
"320","Hungary","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",32074.7
"321","Hungary","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",32667.1
"322","Hungary","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",33290.2
"323","Hungary","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",33769.1
"324","Hungary","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",34046.1
"325","Hungary","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",34765.1
"326","Hungary","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",34950.5
"327","Hungary","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",29892.9
"328","Hungary","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",33150.4
"329","Hungary","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",34351.9
"330","Hungary","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",35486.6
"331","Ireland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",80198.4
"332","Ireland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",81361
"333","Ireland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",82095
"334","Ireland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",84896
"335","Ireland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",83653.8
"336","Ireland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",84204.2
"337","Ireland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",86545.1
"338","Ireland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",85109.3
"339","Ireland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",92002.6
"340","Ireland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",87052.4
"341","Ireland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",94326.2
"342","Italy","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",43669
"343","Italy","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",44060.1
"344","Italy","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",44270
"345","Italy","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",44781.8
"346","Italy","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",45106.8
"347","Italy","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",45228.5
"348","Italy","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",43025.1
"349","Italy","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",37337.1
"350","Italy","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",43842.4
"351","Italy","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",43334.8
"352","Italy","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",43991.5
"353","United Kingdom","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",43814
"354","United Kingdom","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",43827.8
"355","United Kingdom","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",44009.8
"356","United Kingdom","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",44011.3
"357","United Kingdom","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",44164
"358","United Kingdom","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",44106.4
"359","United Kingdom","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",42786.7
"360","United Kingdom","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",34406
"361","United Kingdom","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",40186.9
"362","United Kingdom","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",40645.7
"363","United Kingdom","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",39951.3
"364","Finland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",49838
"365","Finland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",50280.2
"366","Finland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",50815.8
"367","Finland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",51597.1
"368","Finland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",51747.2
"369","Finland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",51927.4
"370","Finland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",51998.5
"371","Finland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",48577.4
"372","Finland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",51095.7
"373","Finland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",51641.7
"374","Finland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",52357.6
"375","Greece","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",29697.4
"376","Greece","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",30023.1
"377","Greece","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",30425.9
"378","Greece","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",30828.9
"379","Greece","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",30770.4
"380","Greece","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",30845
"381","Greece","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",30781
"382","Greece","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",26615.4
"383","Greece","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",27871
"384","Greece","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",29030.2
"385","Greece","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",30718
"386","Ireland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",84735.6
"387","Ireland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",84621.1
"388","Ireland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",87287.4
"389","Ireland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",89474.2
"390","Ireland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",89364.2
"391","Ireland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",92118.4
"392","Ireland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",92974
"393","Ireland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",90608.5
"394","Ireland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",102844.3
"395","Ireland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",95189.6
"396","Ireland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",107205.8
"397","United Kingdom","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",47401.8
"398","United Kingdom","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",47607
"399","United Kingdom","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",47930.1
"400","United Kingdom","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",48279.3
"401","United Kingdom","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",48770.5
"402","United Kingdom","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",49097.3
"403","United Kingdom","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",48186.7
"404","United Kingdom","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",39066.4
"405","United Kingdom","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",45965.6
"406","United Kingdom","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",46732.5
"407","United Kingdom","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",46445.9
"408","Estonia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",36631.9
"409","Estonia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",37296.3
"410","Estonia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",38218.4
"411","Estonia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",38653
"412","Estonia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",39060.3
"413","Estonia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",39464.5
"414","Estonia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",39037.4
"415","Estonia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",36929.4
"416","Estonia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",38272.7
"417","Estonia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",39554.9
"418","Estonia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",41921.5
"419","Japan","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",42176.7
"420","Japan","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",42408.8
"421","Japan","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",42579
"422","Japan","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",42624
"423","Japan","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",43052.6
"424","Japan","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",41957.2
"425","Japan","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",41764
"426","Japan","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",38416.3
"427","Japan","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",40489.9
"428","Japan","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",41654.6
"429","Japan","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",41309.9
"430","Poland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",30494.2
"431","Poland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",30743
"432","Poland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",31318
"433","Poland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",31570.5
"434","Poland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",31925.7
"435","Poland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",31994.9
"436","Poland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",31956.8
"437","Poland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",29113.9
"438","Poland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",31311.1
"439","Poland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",31200.5
"440","Poland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",31609.2
"441","Portugal","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",35198.4
"442","Portugal","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",35634.5
"443","Portugal","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",36117.8
"444","Portugal","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",36724.2
"445","Portugal","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",37093.4
"446","Portugal","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",37563.5
